attractions,etc,accomodations,restaurant,cafe,A11,A12,x1,x2,x3,x4,x5,x6,x7
13,11,223,35,37,3.95,3.99,157771,234906,1311127,17744,1226985,361855,1289
2,11,3,10,36,4.13,3.98,274883,1649245,1664707,127637,5789966,0,464
2,6,1,2,18,3.92,3.96,2841,191445,76353,28654,829629,0,559
8,11,70,33,33,4.13,3.75,147345,600572,1401723,196020,2912455,1026485,46494
1,5,1,6,19,4,3.89,14735,88315,115210,124365,415549,5433,24
4,12,2,9,39,4.17,3.83,2135729,444090,375767,25300,1346832,0,1051
0,2,44,2,4,4.33,4.67,61694,185797,898900,98040,680284,486495,6137
3,5,1,0,0,4,4,36635,34367,28410,61095,63904,53629,2183
9,10,99,8,18,4.11,4,200444,359101,665339,158813,754012,372932,21604
3,2,10,0,2,4.25,4.25,87212,39667,36646,8149,74021,30683,19967
4,3,17,1,1,4.2,4,30210,109328,76291,25145,102362,52501,2774
3,4,0,5,18,3.8,4,35262,104456,107121,59433,622452,31642,2480
11,27,113,20,17,4.02,3.96,263280,770451,1284801,1101441,2207763,184737,5282
1,3,1,0,1,3,3,9617,34197,22826,3527,100497,3918,120
3,0,4,0,1,3.92,3.85,14760,31277,15154,2950,35210,3706,3178
6,32,1,34,88,3.89,3.78,171704,1855814,371163,144425,6152028,8130,26538
3,9,8,2,2,3,2,12755,51665,58480,120435,145540,100689,47280
2,3,8,0,0,3.9,3.93,65290,58506,62593,5816,66248,175344,2064
1,3,8,0,2,3.75,3.5,68720,43510,26886,11323,67305,5670,198
5,6,18,6,17,4,3.89,60415,146501,188091,406463,658163,55389,9048
2,3,1,0,2,4.17,3.92,3487,1186844,13390,124654,729015,14773,488
0,6,0,1,16,3.97,3.87,401,79360,79008,13287,472333,9552,71
2,9,1,3,8,3.96,3.93,435187,91590,104558,5086,876503,76065,77
5,2,3,2,11,3.2,3.4,19326,61571,102804,5141,262750,36970,14776
0,14,0,3,23,4.06,4.1,163906,213570,217346,5527,1039020,0,189
2,2,2,1,17,4.18,4.13,19190,29850,30263,9419,330461,0,245
1,0,3,4,6,4.35,4.18,5232,123972,65334,22079,302231,0,78
4,6,3,5,22,4.22,4.17,16188,251023,95112,14000,631718,0,83
2,3,1,3,18,4.28,4.07,87619,241763,218958,12563,993978,0,32
7,7,11,15,37,4.27,3.91,23783,261823,277760,133200,2157657,394120,3447
0,4,2,0,26,4.14,4.14,125170,640084,419946,21799,676703,904,9441
3,2,19,0,4,4,4.33,70630,28639,129561,14709,88575,102818,5007
1,3,22,1,2,4.09,4.04,26825,48897,110440,205769,152052,45318,29183
0,6,1,0,7,4.13,4.08,275,169563,158018,3165,325663,30254,22
1,5,0,1,11,4.26,4.17,8125,106476,83180,38870,770300,3,3814
6,11,1,6,13,4.57,4.43,76297,161824,162404,46538,779362,15569,2234
6,8,5,6,18,3,3,226871,177773,322380,37514,1153923,275727,811
0,0,0,0,0,4.02,3.97,11676,71861,24614,25662,103248,13884,76
6,6,0,4,14,4.5,4,9177,71135,33637,10473,478222,1321,200
3,3,10,1,2,4.07,4.01,52105,22775,50973,18533,127042,14759,22988
0,2,0,0,9,4.05,3.68,0,74845,85321,14876,222752,34,247
3,4,0,0,7,4.03,3.95,27306,39403,19269,53453,213305,39800,1923
2,3,8,1,4,3.5,3,97051,39089,79898,77660,212913,22507,1060
5,27,4,16,53,4,4,27231,367860,262270,40105,2681902,226145,10827
4,16,2,8,22,4,3.57,62301,297192,194946,75287,1330374,24483,11190
3,8,5,2,9,3.97,3.69,36243,85637,92762,20407,418305,12093,4052
7,22,19,39,92,3.88,3.92,181666,545559,269686,260172,4581421,112198,7871
0,4,4,0,1,3.94,3.73,123035,51061,167950,29246,222184,40386,347
9,8,80,5,3,3.91,3.84,236037,67223,267552,101214,277590,161356,8422
8,10,1,4,14,4,4,20707,193961,41299,16404,566215,1845,280
3,6,10,1,3,3.94,3.69,103159,78071,83061,54165,284740,72696,8411
0,4,25,1,0,3.89,3.81,206771,200477,252028,57708,283443,100437,1476
4,5,15,5,20,3.75,3.75,83080,107815,104885,76972,667782,181928,11415
5,9,7,2,14,4,4,81900,419388,130344,34708,622943,312953,700
1,4,1,4,13,3.83,3.83,11222,47115,35577,8841,376911,0,64
2,13,0,4,14,4.04,4.03,21,356374,147272,6254,886751,0,14609
5,8,3,10,18,4.11,4.05,22714,310269,56652,58563,724820,0,7937
3,9,3,9,21,4.21,4.12,381674,256115,238436,88958,820399,0,5909
2,6,3,1,12,4.08,3.92,11100,319056,127690,2690,591413,0,1152
0,2,0,3,0,3.91,3.73,38550,15008,36862,230,148753,0,16
6,5,2,5,20,3.87,3.96,824,241605,304769,10691,1514866,0,77
1,2,0,5,13,4.1,4,4191,218284,93186,8505,428833,0,698
4,12,0,0,12,4.08,4.04,29455,42112,74484,3046,305814,0,217
3,7,2,3,8,3.92,3.88,302238,86096,81835,3217,431934,0,0
1,10,4,9,45,4,4.06,7339,189693,150618,13234,1131768,0,417
3,10,3,8,28,3.89,3.87,39934,381737,452708,20067,1764051,0,894
2,4,0,4,12,4.15,4.22,40251,295716,79593,6687,622109,0,61
2,2,0,2,11,3.95,3.86,1706,70072,36436,8634,308117,2358,19
3,2,0,2,14,3.92,3.95,11361,54320,62584,8434,459483,2535,3763
5,0,6,1,4,3.97,4.05,8921,68695,83407,1900,532954,42170,2095
0,6,0,0,10,3.9,4.2,489,110662,55412,13484,359967,6,16
7,14,15,2,5,4.02,4.09,36252,77072,226408,9500,229849,281488,38
2,12,3,31,64,3.98,3.91,7674,829734,393400,19971,1725964,565,699
5,12,6,8,18,4,3.73,347766,221182,223594,2171,580704,64241,497
5,2,2,3,9,3.98,3.89,42794,42652,60440,5535,205381,62334,68
2,1,20,1,1,3.9,3.8,51677,97137,160259,17449,116468,40869,890
2,7,11,1,2,3.89,3.78,69062,65097,137277,110163,196393,98619,25896
4,15,34,4,11,3.92,3.62,101062,91239,166215,137611,280364,78132,10201
6,5,30,6,7,3.89,3.78,78602,163487,435096,12732,492526,405562,3680
3,5,6,1,1,4,3.93,62040,30808,43231,13303,75259,61656,14994
4,7,11,0,1,4.06,4,22270,53018,58116,74352,79364,84777,104
1,2,8,0,0,3.92,3.89,32506,13259,23517,20660,34603,32578,65
3,7,2,4,15,3.96,3.93,818478,223616,114263,4362,752623,0,1267
5,3,0,7,7,3.96,3.88,47490,79246,25064,100619,447868,0,6263
11,10,13,20,29,4.25,4,71464,509744,328682,280951,1676099,0,17196
4,5,2,1,8,3.99,3.96,11547,213817,67112,9787,351575,0,0
1,2,0,1,1,4,4.06,93881,26172,130449,5105,191139,0,0
3,8,0,7,11,3.94,3.89,3525,133299,99531,19667,461771,0,57867
2,2,1,10,31,3.94,3.94,32118,204679,234091,37775,504511,0,426
3,2,1,3,8,4,3.91,29536,54791,48829,3778,249405,0,9
0,4,2,2,3,3.96,3.92,57990,105016,95922,6402,354134,0,714
4,8,1,5,2,4.08,4.05,53404,43302,32175,3471,264887,0,3
8,11,3,2,3,4.03,3.96,68976,43127,74926,6173,110112,0,21
3,1,2,7,25,4.1,3.97,1020,61153,151015,5876,755772,0,235
1,2,0,2,7,3.97,3.88,670,7303,54957,12698,277695,0,17
8,10,1,2,4,3.96,3.92,11307,83472,64952,128217,296816,0,4801
1,2,2,1,3,4,3.98,9147,70064,144848,2553,153953,0,0
10,11,18,21,21,4.12,4.02,99264,607500,1142892,16776,1558699,0,20095
7,5,16,0,2,4.11,3.95,134555,46670,243204,56806,190788,267466,2158
3,10,4,0,2,4.13,4.01,24142,119306,119637,135445,201357,8857,2750
1,10,0,16,46,4.17,4.05,68938,560824,167986,25605,1544992,8161,2310
7,8,17,2,1,4,3.94,177633,74528,105370,35899,300544,95311,2162
0,3,20,0,0,4.05,3.98,48277,29077,90126,81837,92382,19129,1413
12,13,31,0,4,4.04,4.02,136369,98435,957572,17071,555430,473342,1078
2,8,7,0,3,4.03,3.97,25054,61890,70095,12549,139192,35932,1397
45,42,190,28,46,3.94,3.96,832980,937748,2081259,91780,2893517,980453,90615
1,5,0,3,11,4.13,4.04,418,177247,135699,39530,500601,1005,124
4,1,9,0,10,4.03,3.97,74929,68871,145809,280434,475746,261346,4732
4,3,9,0,1,4,3.89,93994,70141,75900,19674,92629,208444,9216
1,12,0,4,20,4.09,4.05,252031,948479,614928,158394,2222207,68665,540
4,14,0,20,70,4.16,4.05,50831,817234,486713,54991,6044996,8374,3293
4,7,0,6,14,4.07,4.03,208,455673,37353,1656,742491,1710,524
1,10,0,4,25,0,0,2050,73261,43334,98188,579876,0,94
2,3,11,0,3,3.92,3.96,14227,16142,52213,11484,49711,29422,1358
8,16,5,4,16,4.14,3.98,146324,501939,127438,29657,1619107,62684,2748
7,9,12,20,11,4.1,4.03,365438,312257,1820922,30580,2826493,824086,52073
1,11,0,12,44,4.15,4.02,14786,1391835,588653,18658,2222044,50945,933
8,32,0,28,98,4.13,4.03,282316,1299993,700504,352184,5095253,16969,30583
6,6,4,0,1,4.2,4.2,58003,24094,17418,32956,62341,54552,3796
2,10,12,6,16,4,4.17,304300,79061,168198,138275,712815,41070,4195
3,9,0,15,38,4.06,3.98,16560,936971,217538,22096,2216948,85507,6746
4,2,4,0,0,4.09,4.1,111514,44996,56091,3172,26793,77128,229
5,4,10,2,34,4.04,3.99,264969,189846,225668,135994,1285846,93336,142349
2,10,7,3,6,4.13,4.06,81129,85925,133537,202637,328298,11361,7220
8,16,33,24,38,4.11,4.07,156007,894297,686317,20805,2811029,101201,16946
7,5,14,3,21,3.96,3.85,41807,274627,151578,86059,1083743,101783,10413
1,6,2,8,32,4.12,4.04,7411,347840,142298,70835,1448988,2788,167
3,4,4,0,0,4.11,4.08,10157,38723,30471,1923,39182,22797,261
3,7,8,8,26,4,3.97,28545,221540,245420,262135,1089942,71473,4656
8,4,62,17,11,4.12,4,84871,108899,991136,305931,836897,760987,34481
10,8,12,21,21,4.11,4.05,17568,376105,180044,35169,1328685,99848,43107
2,10,0,3,16,4.06,4,3,205406,6403,9568,590667,26,190
11,9,78,24,20,4.04,4.03,294138,199467,526467,105034,1270287,112157,9906
9,11,48,11,14,4,4,413540,567768,926737,141609,1530787,285036,7758
4,2,12,4,11,4.03,4.03,40083,163723,219183,122575,1599692,40171,13432
2,2,33,0,2,4.13,4.05,51660,97188,181454,93674,233233,93639,9636
3,3,2,2,0,4.1,4.05,83589,67493,39090,50307,132502,44858,751
8,8,30,2,1,4.12,4.07,25256,101736,123991,6657,129656,311975,1245
2,0,4,0,0,4.08,4.02,25691,18365,23287,18256,48149,39279,341
2,5,0,3,15,4.06,3.99,45604,740130,544929,1057,1353673,2384,65
0,3,4,1,3,3.8,4,15575,29560,67485,40166,82238,49083,744
4,1,4,0,1,4.11,4.01,3521,2692,4529,4684,4250,9760,97
2,5,27,1,2,4.04,3.94,37039,134075,260579,187760,143857,42826,510
0,4,7,1,1,4.11,4.03,35038,48413,78972,109773,171409,14282,3226
4,5,5,1,5,4.06,3.95,65603,60603,68514,80205,209449,24454,2910
3,8,10,1,3,3.97,3.94,162339,42720,194824,130862,342770,45808,41178
0,2,5,0,1,3.97,3.94,34901,36315,19884,35790,96863,6255,13074
3,9,1,5,7,4.07,3.95,9512,162097,148797,28505,1451304,61886,866
5,5,2,1,4,4.12,3.99,26640,51914,29468,21191,140548,27670,155
4,7,8,0,1,4.12,4.07,184322,25042,40581,8515,39460,97255,22
1,2,14,0,7,4.16,4.01,49670,70620,146500,32508,344369,45022,6433
0,3,0,13,32,3.96,3.7,397275,1097314,555837,10437,1246304,46349,59
8,20,30,15,60,4.37,4.15,329440,1962837,947488,375061,6259286,104099,47200
5,3,3,3,3,4.23,4.06,26543,32621,19952,926,25887,38806,0
4,13,1,4,25,4.27,4.29,63156,294670,240730,15073,811023,0,83
4,4,1,2,7,4.06,4,44843,119510,69916,2776,209758,0,33
0,14,6,3,9,4.27,4.25,80415,56071,63913,9319,499956,0,1139
3,15,17,6,25,4.25,4.06,285515,149074,164678,66568,774891,0,21070
2,6,4,3,8,4.5,4.22,706,184022,51526,20393,308728,0,575
7,6,14,1,1,4,4.05,77597,89510,170349,28385,131598,298672,77101
6,16,20,4,35,4.29,4.15,270514,303518,451513,68339,1427187,58534,6613
3,3,3,2,22,4.31,4.2,32027,100073,58739,111597,496103,4797,188
0,2,1,1,7,4.41,4.18,28413,43962,69524,16189,291047,29371,725
0,2,4,0,0,4.1,3.99,13964,15305,17048,26740,44447,6806,245
1,3,0,1,1,4.16,3.99,5890,17075,12209,20089,36019,16306,3301
5,3,0,7,13,4.14,4.01,18086,176610,52333,49423,1315449,35584,61
3,7,1,11,29,4.15,3.97,17260,188528,115340,12743,1460181,2636,774
4,3,2,3,23,4.04,3.9,115215,246674,241084,32618,1349444,12346,117522
2,11,3,2,10,4.28,4.16,231443,163018,96853,47238,510103,5296,10790
1,2,18,3,4,4.18,3.96,58855,59608,189255,109422,250072,189820,6485
9,8,80,18,27,4.2,4.08,200156,131339,494769,335198,1073333,0,42544
2,4,0,5,17,4.13,3.98,8701,200612,63853,5643,668056,0,2206
1,9,0,10,36,4.22,4.12,6,364270,202520,14695,1297721,0,1920
1,1,0,0,0,0,0,12,24085,7281,197,56879,0,16
1,6,0,2,19,4.36,4.18,82318,243220,95081,34594,642554,0,43
0,8,0,5,38,4.3,4.16,427,142292,85143,8715,682541,0,141
1,12,1,10,34,4.32,4.17,44652,417215,110502,8951,1573677,0,232
1,10,2,11,30,4.24,4.11,40068,808338,593482,23054,2134378,0,851
5,4,39,1,4,4.11,4.11,59933,5584,207999,2267,194147,0,12185
9,7,21,19,25,3.75,3.71,3136372,282960,885818,9523,1872319,0,33957
2,4,2,0,2,4.02,3.9,34265,37599,11214,4532,83485,21562,76
0,3,11,0,5,4.27,4.08,26229,68532,46227,65361,157888,40442,1276
0,1,5,0,0,4.4,4.01,1720,7760,11657,5094,12475,14598,773
4,2,5,1,1,4.2,4.08,6888,36458,18083,7357,41378,36270,177
3,16,14,6,27,4.44,4.22,134606,584390,574946,408633,2170861,96291,886
3,6,22,0,1,4.26,4.13,69412,443762,585777,17615,162473,102360,527
3,7,7,0,5,4.02,3.99,62863,79157,55698,18778,173235,19347,1339
54,52,228,44,83,4.08,4.11,1454723,841560,1882727,70766,4854051,1533116,18510
6,3,32,3,4,3.96,3.87,246276,65874,453206,54100,607552,138700,8945
4,14,3,1,10,4.07,4.01,199960,867608,415361,501790,1053984,5684,356
3,10,1,2,9,3.84,3.73,23582,487279,1561240,43742,1121251,0,289
3,5,1,4,19,3.94,3.96,8826,100184,34347,6651,341585,0,189
1,1,1,1,3,4.08,4.11,14442,21273,26536,1806,133102,24653,212
5,4,4,0,1,4.07,4.07,34030,47686,182730,29803,77204,83099,1676
3,3,7,0,1,4.1,3.97,12981,29037,31173,25688,26270,76836,3564
9,14,5,2,7,3.92,4.08,94366,131261,245084,51204,842627,60925,1226
2,2,2,1,3,4,4.06,23186,43352,97726,77310,281058,42227,131
3,8,4,0,2,4.2,4.2,8915,77328,85322,18180,91896,39827,14395
12,26,9,16,49,4.15,4.11,340495,971306,747107,165966,2507235,174474,70234
5,18,11,14,55,4,4.13,108167,541628,549226,77906,3040847,45987,23607
3,1,12,0,3,4.04,3.86,138128,125899,84015,77254,228220,111393,2382
1,3,23,3,8,4.01,3.92,25283,67795,114461,117582,227863,28114,24760
0,2,3,0,0,3.78,3.33,4202,15011,77247,11596,53025,119805,4013
3,1,6,0,0,3.75,3.58,38828,27706,22331,15043,45827,22611,315
5,10,11,15,47,3.82,4,732429,599880,513257,96777,2857936,48938,28546
8,6,56,16,31,3.69,4.13,179615,659054,623062,53614,2634786,250744,10689
4,4,24,6,10,3.89,3.95,98974,168823,303960,26161,728109,126447,54364
8,4,7,12,12,4.02,3.98,27700,74345,76606,31169,302005,40276,18605
3,1,2,0,0,4.26,4.19,39324,44386,59835,9417,92947,33102,18
7,6,181,14,7,4.13,4.09,116810,234324,1172010,30774,625473,1301124,35490
11,10,57,1,5,4.18,4.13,270246,144528,422772,47541,645065,108548,68
4,7,33,23,75,4.22,4.04,784802,692923,377449,125107,3347298,129706,35193
6,5,64,11,3,4,4.03,169388,289917,890100,133198,550842,58750,28505
4,18,5,9,43,4.06,4.08,121114,674460,445073,26417,3733411,46014,12832
6,5,79,13,17,4.16,4.1,66467,270995,594889,28370,1347841,459704,125036
4,15,46,15,31,4.15,4.02,436331,396554,537854,64184,1693650,608058,18874
4,15,1,14,28,4.12,4.04,2919,533237,96116,20047,2320725,646,3385
4,8,17,2,2,4.18,4.18,117992,63851,83975,101048,146049,28038,3027
3,4,3,1,3,4.09,4,5943,99132,16063,32193,133278,4276,1108
2,5,5,0,0,3.96,3.89,15404,42353,43373,17492,45885,27612,5684
1,5,1,0,4,3.95,3.95,7896,67636,15225,7546,77418,43144,64
4,3,13,0,2,4.23,4.09,38491,94813,74797,89319,87478,50849,2801
3,4,11,2,0,4.24,4.09,66628,88038,53397,85196,96053,36255,1513
3,4,5,3,5,4.24,4.06,32593,74130,46979,18990,247711,132826,226
5,5,69,6,8,4.15,4.08,138961,746692,2443167,31919,1038686,117147,9814
13,25,24,9,66,4.02,3.98,290981,760251,656112,198256,3876151,711044,139176
4,4,4,2,8,4.16,3.97,20464,58215,50249,44275,218796,35596,9258
3,2,11,0,0,4.23,4.11,19009,52687,48962,1953,25393,11864,633
2,0,31,2,4,4.24,4.13,44203,39401,239893,2293,318049,44512,3575