시군구,방문자 수,관광명소,기타,숙박,음식점,카페,기타관광_검색건수,문화관광_검색건수,숙박_검색건수,역사관광_검색건수,음식_검색건수,자연관광_검색건수,체험관광_검색건수
가평군,22105529,13,11,223,35,37,157771,234906,1311127,17744,1226985,361855,1289
강남구,103309405,2,11,3,10,36,274883,1649245,1664707,127637,5789966,0,464
강동구,23706460,2,6,1,2,18,2841,191445,76353,28654,829629,0,559
강릉시,26260986,8,11,70,33,33,147345,600572,1401723,196020,2912455,1026485,46494
강북구,18328235,1,5,1,6,19,14735,88315,115210,124365,415549,5433,24
강서구,44365489,4,12,2,9,39,2135729,444090,375767,25300,1346832,0,1051
강원도 고성군,11587818,0,2,44,2,4,61694,185797,898900,98040,680284,486495,6137
강진군,3731667,3,5,1,0,0,36635,34367,28410,61095,63904,53629,2183
거제시,16967099,9,10,99,8,18,200444,359101,665339,158813,754012,372932,21604
거창군,4970043,3,2,10,0,2,87212,39667,36646,8149,74021,30683,19967
경남 고성군,6925828,4,3,17,1,1,30210,109328,76291,25145,102362,52501,2774
경산시,16897159,3,4,0,5,18,35262,104456,107121,59433,622452,31642,2480
경주시,38487665,11,27,113,20,17,263280,770451,1284801,1101441,2207763,184737,5282
계룡시,2654049,1,3,1,0,1,9617,34197,22826,3527,100497,3918,120
고령군,4108285,3,0,4,0,1,14760,31277,15154,2950,35210,3706,3178
고양시,75257135,6,32,1,34,88,171704,1855814,371163,144425,6152028,8130,26538
고창군,6568793,3,9,8,2,2,12755,51665,58480,120435,145540,100689,47280
고흥군,6250555,2,3,8,0,0,65290,58506,62593,5816,66248,175344,2064
곡성군,4220504,1,3,8,0,2,68720,43510,26886,11323,67305,5670,198
공주시,14007894,5,6,18,6,17,60415,146501,188091,406463,658163,55389,9048
과천시,11662793,2,3,1,0,2,3487,1186844,13390,124654,729015,14773,488
관악구,28692265,0,6,0,1,16,401,79360,79008,13287,472333,9552,71
광명시,19930245,2,9,1,3,8,435187,91590,104558,5086,876503,76065,77
광양시,8651194,5,2,3,2,11,19326,61571,102804,5141,262750,36970,14776
광주광역시 광산구,22917960,0,14,0,3,23,163906,213570,217346,5527,1039020,0,189
광주광역시 남구,11733823,2,2,2,1,17,19190,29850,30263,9419,330461,0,245
광주광역시 동구,17762318,1,0,3,4,6,5232,123972,65334,22079,302231,0,78
광주광역시 북구,21467178,4,6,3,5,22,16188,251023,95112,14000,631718,0,83
광주광역시 서구,25200044,2,3,1,3,18,87619,241763,218958,12563,993978,0,32
광주시,24448778,7,7,11,15,37,23783,261823,277760,133200,2157657,394120,3447
광진구,29971654,0,4,2,0,26,125170,640084,419946,21799,676703,904,9441
괴산군,6793475,3,2,19,0,4,70630,28639,129561,14709,88575,102818,5007
구례군,4503554,1,3,22,1,2,26825,48897,110440,205769,152052,45318,29183
구로구,29155037,0,6,1,0,7,275,169563,158018,3165,325663,30254,22
구리시,14610752,1,5,0,1,11,8125,106476,83180,38870,770300,3,3814
구미시,14286993,6,11,1,6,13,76297,161824,162404,46538,779362,15569,2234
군산시,14377306,6,8,5,6,18,226871,177773,322380,37514,1153923,275727,811
군위군,4499849,,,,,,11676,71861,24614,25662,103248,13884,76
군포시,12922885,6,6,0,4,14,9177,71135,33637,10473,478222,1321,200
금산군,6269644,3,3,10,1,2,52105,22775,50973,18533,127042,14759,22988
금천구,17785107,0,2,0,0,9,0,74845,85321,14876,222752,34,247
김제시,6914139,3,4,0,0,7,27306,39403,19269,53453,213305,39800,1923
김천시,9219130,2,3,8,1,4,97051,39089,79898,77660,212913,22507,1060
김포시,27006654,5,27,4,16,53,27231,367860,262270,40105,2681902,226145,10827
김해시,25580274,4,16,2,8,22,62301,297192,194946,75287,1330374,24483,11190
나주시,9956429,3,8,5,2,9,36243,85637,92762,20407,418305,12093,4052
남양주시,32210877,7,22,19,39,92,181666,545559,269686,260172,4581421,112198,7871
남원시,7035338,0,4,4,0,1,123035,51061,167950,29246,222184,40386,347
남해군,8232966,9,8,80,5,3,236037,67223,267552,101214,277590,161356,8422
노원구,26938602,8,10,1,4,14,20707,193961,41299,16404,566215,1845,280
논산시,9594511,3,6,10,1,3,103159,78071,83061,54165,284740,72696,8411
단양군,6669433,0,4,25,1,0,206771,200477,252028,57708,283443,100437,1476
담양군,9883438,4,5,15,5,20,83080,107815,104885,76972,667782,181928,11415
당진시,12349021,5,9,7,2,14,81900,419388,130344,34708,622943,312953,700
대구광역시 남구,12795176,1,4,1,4,13,11222,47115,35577,8841,376911,0,64
대구광역시 달서구,30178387,2,13,0,4,14,21,356374,147272,6254,886751,0,14609
대구광역시 달성군,17867385,5,8,3,10,18,22714,310269,56652,58563,724820,0,7937
대구광역시 동구,31855695,3,9,3,9,21,381674,256115,238436,88958,820399,0,5909
대구광역시 북구,24462256,2,6,3,1,12,11100,319056,127690,2690,591413,0,1152
대구광역시 서구,11114600,0,2,0,3,0,38550,15008,36862,230,148753,0,16
대구광역시 수성구,27458635,6,5,2,5,20,824,241605,304769,10691,1514866,0,77
대구광역시 중구,33236846,1,2,0,5,13,4191,218284,93186,8505,428833,0,698
대전광역시 대덕구,10362892,4,12,0,0,12,29455,42112,74484,3046,305814,0,217
대전광역시 동구,14857098,3,7,2,3,8,302238,86096,81835,3217,431934,0,0
대전광역시 서구,28766993,1,10,4,9,45,7339,189693,150618,13234,1131768,0,417
대전광역시 유성구,27183723,3,10,3,8,28,39934,381737,452708,20067,1764051,0,894
대전광역시 중구,20237493,2,4,0,4,12,40251,295716,79593,6687,622109,0,61
도봉구,13459863,2,2,0,2,11,1706,70072,36436,8634,308117,2358,19
동대문구,24994344,3,2,0,2,14,11361,54320,62584,8434,459483,2535,3763
동두천시,5120948,5,0,6,1,4,8921,68695,83407,1900,532954,42170,2095
동작구,24300103,0,6,0,0,10,489,110662,55412,13484,359967,6,16
동해시,6759629,7,14,15,2,5,36252,77072,226408,9500,229849,281488,38
마포구,56951532,2,12,3,31,64,7674,829734,393400,19971,1725964,565,699
목포시,13256884,5,12,6,8,18,347766,221182,223594,2171,580704,64241,497
무안군,7880451,5,2,2,3,9,42794,42652,60440,5535,205381,62334,68
무주군,5532536,2,1,20,1,1,51677,97137,160259,17449,116468,40869,890
문경시,7154024,2,7,11,1,2,69062,65097,137277,110163,196393,98619,25896
밀양시,11559157,4,15,34,4,11,101062,91239,166215,137611,280364,78132,10201
보령시,14796644,6,5,30,6,7,78602,163487,435096,12732,492526,405562,3680
보성군,5010542,3,5,6,1,1,62040,30808,43231,13303,75259,61656,14994
보은군,4729375,4,7,11,0,1,22270,53018,58116,74352,79364,84777,104
봉화군,3328175,1,2,8,0,0,32506,13259,23517,20660,34603,32578,65
부산광역시 강서구,19199657,3,7,2,4,15,818478,223616,114263,4362,752623,0,1267
부산광역시 금정구,16861277,5,3,0,7,7,47490,79246,25064,100619,447868,0,6263
부산광역시 기장군,29542362,11,10,13,20,29,71464,509744,328682,280951,1676099,0,17196
부산광역시 남구,15420524,4,5,2,1,8,11547,213817,67112,9787,351575,0,0
부산광역시 동구,11466138,1,2,0,1,1,93881,26172,130449,5105,191139,0,0
부산광역시 동래구,20815215,3,8,0,7,11,3525,133299,99531,19667,461771,0,57867
부산광역시 부산진구,40672637,2,2,1,10,31,32118,204679,234091,37775,504511,0,426
부산광역시 북구,12203564,3,2,1,3,8,29536,54791,48829,3778,249405,0,9
부산광역시 사상구,14909226,0,4,2,2,3,57990,105016,95922,6402,354134,0,714
부산광역시 사하구,13011480,4,8,1,5,2,53404,43302,32175,3471,264887,0,3
부산광역시 서구,10681311,8,11,3,2,3,68976,43127,74926,6173,110112,0,21
부산광역시 수영구,21638974,3,1,2,7,25,1020,61153,151015,5876,755772,0,235
부산광역시 연제구,16093983,1,2,0,2,7,670,7303,54957,12698,277695,0,17
부산광역시 영도구,7672511,8,10,1,2,4,11307,83472,64952,128217,296816,0,4801
부산광역시 중구,16380620,1,2,2,1,3,9147,70064,144848,2553,153953,0,0
부산광역시 해운대구,41543754,10,11,18,21,21,99264,607500,1142892,16776,1558699,0,20095
부안군,8305178,7,5,16,0,2,134555,46670,243204,56806,190788,267466,2158
부여군,6669455,3,10,4,0,2,24142,119306,119637,135445,201357,8857,2750
부천시,35697806,1,10,0,16,46,68938,560824,167986,25605,1544992,8161,2310
사천시,10749055,7,8,17,2,1,177633,74528,105370,35899,300544,95311,2162
산청군,6756851,0,3,20,0,0,48277,29077,90126,81837,92382,19129,1413
삼척시,8586812,12,13,31,0,4,136369,98435,957572,17071,555430,473342,1078
상주시,7957210,2,8,7,0,3,25054,61890,70095,12549,139192,35932,1397
서귀포시,39371469,45,42,190,28,46,832980,937748,2081259,91780,2893517,980453,90615
서대문구,28755350,1,5,0,3,11,418,177247,135699,39530,500601,1005,124
서산시,10484881,4,1,9,0,10,74929,68871,145809,280434,475746,261346,4732
서천군,6103684,4,3,9,0,1,93994,70141,75900,19674,92629,208444,9216
서초구,65675204,1,12,0,4,20,252031,948479,614928,158394,2222207,68665,540
성남시,72576971,4,14,0,20,70,50831,817234,486713,54991,6044996,8374,3293
성동구,32024962,4,7,0,6,14,208,455673,37353,1656,742491,1710,524
성북구,22913019,1,10,0,4,25,2050,73261,43334,98188,579876,0,94
성주군,5581487,2,3,11,0,3,14227,16142,52213,11484,49711,29422,1358
세종시,18116176,8,16,5,4,16,146324,501939,127438,29657,1619107,62684,2748
속초시,19443033,7,9,12,20,11,365438,312257,1820922,30580,2826493,824086,52073
송파구,66769373,1,11,0,12,44,14786,1391835,588653,18658,2222044,50945,933
수원시,63268553,8,32,0,28,98,282316,1299993,700504,352184,5095253,16969,30583
순창군,3486708,6,6,4,0,1,58003,24094,17418,32956,62341,54552,3796
순천시,15558789,2,10,12,6,16,304300,79061,168198,138275,712815,41070,4195
시흥시,29130254,3,9,0,15,38,16560,936971,217538,22096,2216948,85507,6746
신안군,4849176,4,2,4,0,0,111514,44996,56091,3172,26793,77128,229
아산시,21412149,5,4,10,2,34,264969,189846,225668,135994,1285846,93336,142349
안동시,10821969,2,10,7,3,6,81129,85925,133537,202637,328298,11361,7220
안산시,39936404,8,16,33,24,38,156007,894297,686317,20805,2811029,101201,16946
안성시,16585145,7,5,14,3,21,41807,274627,151578,86059,1083743,101783,10413
안양시,37194769,1,6,2,8,32,7411,347840,142298,70835,1448988,2788,167
양구군,1814851,3,4,4,0,0,10157,38723,30471,1923,39182,22797,261
양산시,21105082,3,7,8,8,26,28545,221540,245420,262135,1089942,71473,4656
양양군,12196304,8,4,62,17,11,84871,108899,991136,305931,836897,760987,34481
양주시,18181646,10,8,12,21,21,17568,376105,180044,35169,1328685,99848,43107
양천구,21140006,2,10,0,3,16,3,205406,6403,9568,590667,26,190
양평군,17732502,11,9,78,24,20,294138,199467,526467,105034,1270287,112157,9906
여수시,22429413,9,11,48,11,14,413540,567768,926737,141609,1530787,285036,7758
여주시,15901010,4,2,12,4,11,40083,163723,219183,122575,1599692,40171,13432
연천군,5737694,2,2,33,0,2,51660,97188,181454,93674,233233,93639,9636
영광군,5308324,3,3,2,2,0,83589,67493,39090,50307,132502,44858,751
영덕군,7626389,8,8,30,2,1,25256,101736,123991,6657,129656,311975,1245
영동군,4124597,2,0,4,0,0,25691,18365,23287,18256,48149,39279,341
영등포구,59053622,2,5,0,3,15,45604,740130,544929,1057,1353673,2384,65
영암군,5624367,0,3,4,1,3,15575,29560,67485,40166,82238,49083,744
영양군,1376345,4,1,4,0,1,3521,2692,4529,4684,4250,9760,97
영월군,6065958,2,5,27,1,2,37039,134075,260579,187760,143857,42826,510
영주시,6078970,0,4,7,1,1,35038,48413,78972,109773,171409,14282,3226
영천시,9121695,4,5,5,1,5,65603,60603,68514,80205,209449,24454,2910
예산군,9143844,3,8,10,1,3,162339,42720,194824,130862,342770,45808,41178
예천군,4490870,0,2,5,0,1,34901,36315,19884,35790,96863,6255,13074
오산시,12291493,3,9,1,5,7,9512,162097,148797,28505,1451304,61886,866
옥천군,5444873,5,5,2,1,4,26640,51914,29468,21191,140548,27670,155
완도군,4375776,4,7,8,0,1,184322,25042,40581,8515,39460,97255,22
완주군,12038770,1,2,14,0,7,49670,70620,146500,32508,344369,45022,6433
용산구,40356913,0,3,0,13,32,397275,1097314,555837,10437,1246304,46349,59
용인시,76844219,8,20,30,15,60,329440,1962837,947488,375061,6259286,104099,47200
울릉군,1511584,,,,,,26543,32621,19952,926,25887,38806,0
울산광역시 남구,23223184,4,13,1,4,25,63156,294670,240730,15073,811023,0,83
울산광역시 동구,8486736,4,4,1,2,7,44843,119510,69916,2776,209758,0,33
울산광역시 북구,13529481,0,14,6,3,9,80415,56071,63913,9319,499956,0,1139
울산광역시 울주군,20728511,3,15,17,6,25,285515,149074,164678,66568,774891,0,21070
울산광역시 중구,11738732,2,6,4,3,8,706,184022,51526,20393,308728,0,575
울진군,6609317,7,6,14,1,1,77597,89510,170349,28385,131598,298672,77101
원주시,18684861,6,16,20,4,35,270514,303518,451513,68339,1427187,58534,6613
은평구,18079312,3,3,3,2,22,32027,100073,58739,111597,496103,4797,188
음성군,9234379,0,2,1,1,7,28413,43962,69524,16189,291047,29371,725
의령군,3143522,0,2,4,0,0,13964,15305,17048,26740,44447,6806,245
의성군,5052265,1,3,0,1,1,5890,17075,12209,20089,36019,16306,3301
의왕시,13755123,5,3,0,7,13,18086,176610,52333,49423,1315449,35584,61
의정부시,21424378,3,7,1,11,29,17260,188528,115340,12743,1460181,2636,774
이천시,18496268,4,3,2,3,23,115215,246674,241084,32618,1349444,12346,117522
익산시,11771786,2,11,3,2,10,231443,163018,96853,47238,510103,5296,10790
인제군,4826112,1,2,18,3,4,58855,59608,189255,109422,250072,189820,6485
인천광역시 강화군,14248442,9,8,80,18,27,200156,131339,494769,335198,1073333,0,42544
인천광역시 계양구,14500926,2,4,0,5,17,8701,200612,63853,5643,668056,0,2206
인천광역시 남동구,31448752,1,9,0,10,36,6,364270,202520,14695,1297721,0,1920
인천광역시 동구,4129414,1,1,0,0,0,12,24085,7281,197,56879,0,16
인천광역시 미추홀구,22522049,1,6,0,2,19,82318,243220,95081,34594,642554,0,43
인천광역시 부평구,26797444,0,8,0,5,38,427,142292,85143,8715,682541,0,141
인천광역시 서구,26270892,1,12,1,10,34,44652,417215,110502,8951,1573677,0,232
인천광역시 연수구,27395693,1,10,2,11,30,40068,808338,593482,23054,2134378,0,851
인천광역시 옹진군,5096676,5,4,39,1,4,59933,5584,207999,2267,194147,0,12185
인천광역시 중구,32546996,9,7,21,19,25,3136372,282960,885818,9523,1872319,0,33957
임실군,3957176,2,4,2,0,2,34265,37599,11214,4532,83485,21562,76
장성군,6285837,0,3,11,0,5,26229,68532,46227,65361,157888,40442,1276
장수군,2182275,0,1,5,0,0,1720,7760,11657,5094,12475,14598,773
장흥군,3490545,4,2,5,1,1,6888,36458,18083,7357,41378,36270,177
전주시,39727853,3,16,14,6,27,134606,584390,574946,408633,2170861,96291,886
정선군,8137646,3,6,22,0,1,69412,443762,585777,17615,162473,102360,527
정읍시,7316086,3,7,7,0,5,62863,79157,55698,18778,173235,19347,1339
제주시,50947145,54,52,228,44,83,1454723,841560,1882727,70766,4854051,1533116,18510
제천시,12099432,6,3,32,3,4,246276,65874,453206,54100,607552,138700,8945
종로구,61659809,4,14,3,1,10,199960,867608,415361,501790,1053984,5684,356
중구,56997855,3,10,1,2,9,23582,487279,1561240,43742,1121251,0,289
중랑구,17389919,3,5,1,4,19,8826,100184,34347,6651,341585,0,189
증평군,2834930,1,1,1,1,3,14442,21273,26536,1806,133102,24653,212
진도군,3920591,5,4,4,0,1,34030,47686,182730,29803,77204,83099,1676
진안군,3636979,3,3,7,0,1,12981,29037,31173,25688,26270,76836,3564
진주시,15381413,9,14,5,2,7,94366,131261,245084,51204,842627,60925,1226
진천군,7820432,2,2,2,1,3,23186,43352,97726,77310,281058,42227,131
창녕군,7439483,3,8,4,0,2,8915,77328,85322,18180,91896,39827,14395
창원시,70023454,12,26,9,16,49,340495,971306,747107,165966,2507235,174474,70234
천안시,44137454,5,18,11,14,55,108167,541628,549226,77906,3040847,45987,23607
철원군,4669436,3,1,12,0,3,138128,125899,84015,77254,228220,111393,2382
청도군,9100584,1,3,23,3,8,25283,67795,114461,117582,227863,28114,24760
청송군,3570227,0,2,3,0,0,4202,15011,77247,11596,53025,119805,4013
청양군,3473991,3,1,6,0,0,38828,27706,22331,15043,45827,22611,315
청주시,62205038,5,10,11,15,47,732429,599880,513257,96777,2857936,48938,28546
춘천시,20469393,8,6,56,16,31,179615,659054,623062,53614,2634786,250744,10689
충주시,14737623,4,4,24,6,10,98974,168823,303960,26161,728109,126447,54364
칠곡군,11689216,8,4,7,12,12,27700,74345,76606,31169,302005,40276,18605
태백시,2999818,3,1,2,0,0,39324,44386,59835,9417,92947,33102,18
태안군,16599617,7,6,181,14,7,116810,234324,1172010,30774,625473,1301124,35490
통영시,12710881,11,10,57,1,5,270246,144528,422772,47541,645065,108548,68
파주시,33184403,4,7,33,23,75,784802,692923,377449,125107,3347298,129706,35193
평창군,13335933,6,5,64,11,3,169388,289917,890100,133198,550842,58750,28505
평택시,24444231,4,18,5,9,43,121114,674460,445073,26417,3733411,46014,12832
포천시,21368171,6,5,79,13,17,66467,270995,594889,28370,1347841,459704,125036
포항시,35572356,4,15,46,15,31,436331,396554,537854,64184,1693650,608058,18874
하남시,26321412,4,15,1,14,28,2919,533237,96116,20047,2320725,646,3385
하동군,5916953,4,8,17,2,2,117992,63851,83975,101048,146049,28038,3027
함안군,6340842,3,4,3,1,3,5943,99132,16063,32193,133278,4276,1108
함양군,4246959,2,5,5,0,0,15404,42353,43373,17492,45885,27612,5684
함평군,4141846,1,5,1,0,4,7896,67636,15225,7546,77418,43144,64
합천군,6173042,4,3,13,0,2,38491,94813,74797,89319,87478,50849,2801
해남군,5883901,3,4,11,2,0,66628,88038,53397,85196,96053,36255,1513
홍성군,7105846,3,4,5,3,5,32593,74130,46979,18990,247711,132826,226
홍천군,15071693,5,5,69,6,8,138961,746692,2443167,31919,1038686,117147,9814
화성시,51736786,13,25,24,9,66,290981,760251,656112,198256,3876151,711044,139176
화순군,7963778,4,4,4,2,8,20464,58215,50249,44275,218796,35596,9258
화천군,2428709,3,2,11,0,0,19009,52687,48962,1953,25393,11864,633
횡성군,8176074,2,0,31,2,4,44203,39401,239893,2293,318049,44512,3575
