attractions,etc,accomodation,restaurant,cafe,A11,A12
0.240740741,0.211538462,0.978070175,0.795454545,0.37755102,0.864332604,0.854389722
0.037037037,0.211538462,0.013157895,0.227272727,0.367346939,0.903719912,0.852248394
0.037037037,0.115384615,0.004385965,0.045454545,0.183673469,0.857768053,0.847965739
0.148148148,0.211538462,0.307017544,0.75,0.336734694,0.903719912,0.802997859
0.018518519,0.096153846,0.004385965,0.136363636,0.193877551,0.875273523,0.832976445
0.074074074,0.230769231,0.00877193,0.204545455,0.397959184,0.912472648,0.82012848
0,0.038461538,0.192982456,0.045454545,0.040816327,0.947483589,1
0.055555556,0.096153846,0.004385965,0,0,0.875273523,0.856531049
0.166666667,0.192307692,0.434210526,0.181818182,0.183673469,0.899343545,0.856531049
0.055555556,0.038461538,0.043859649,0,0.020408163,0.929978118,0.91006424
0.074074074,0.057692308,0.074561404,0.022727273,0.010204082,0.919037199,0.856531049
0.055555556,0.076923077,0,0.113636364,0.183673469,0.831509847,0.856531049
0.203703704,0.519230769,0.495614035,0.454545455,0.173469388,0.879649891,0.847965739
0.018518519,0.057692308,0.004385965,0,0.010204082,0.656455142,0.642398287
0.055555556,0,0.01754386,0,0.010204082,0.857768053,0.824411135
0.111111111,0.615384615,0.004385965,0.772727273,0.897959184,0.851203501,0.809421842
0.055555556,0.173076923,0.035087719,0.045454545,0.020408163,0.656455142,0.428265525
0.037037037,0.057692308,0.035087719,0,0,0.853391685,0.841541756
0.018518519,0.057692308,0.035087719,0,0.020408163,0.820568928,0.749464668
0.092592593,0.115384615,0.078947368,0.136363636,0.173469388,0.875273523,0.832976445
0.037037037,0.057692308,0.004385965,0,0.020408163,0.912472648,0.839400428
0,0.115384615,0,0.022727273,0.163265306,0.868708972,0.82869379
0.037037037,0.173076923,0.004385965,0.068181818,0.081632653,0.866520788,0.841541756
0.092592593,0.038461538,0.013157895,0.045454545,0.112244898,0.700218818,0.728051392
0,0.269230769,0,0.068181818,0.234693878,0.888402626,0.877944325
0.037037037,0.038461538,0.00877193,0.022727273,0.173469388,0.914660832,0.884368308
0.018518519,0,0.013157895,0.090909091,0.06122449,0.951859956,0.895074946
0.074074074,0.115384615,0.013157895,0.113636364,0.224489796,0.923413567,0.892933619
0.037037037,0.057692308,0.004385965,0.068181818,0.183673469,0.93654267,0.871520343
0.12962963,0.134615385,0.048245614,0.340909091,0.37755102,0.934354486,0.837259101
0,0.076923077,0.00877193,0,0.265306122,0.905908096,0.886509636
0.055555556,0.038461538,0.083333333,0,0.040816327,0.875273523,0.927194861
0.018518519,0.057692308,0.096491228,0.022727273,0.020408163,0.894967177,0.86509636
0,0.115384615,0.004385965,0,0.071428571,0.903719912,0.87366167
0.018518519,0.096153846,0,0.022727273,0.112244898,0.932166302,0.892933619
0.111111111,0.211538462,0.004385965,0.136363636,0.132653061,1,0.948608137
0.111111111,0.153846154,0.021929825,0.136363636,0.183673469,0.656455142,0.642398287
0,0,0,0,0,0.879649891,0.850107066
0.111111111,0.115384615,0,0.090909091,0.142857143,0.984682713,0.856531049
0.055555556,0.057692308,0.043859649,0.022727273,0.020408163,0.89059081,0.858672377
0,0.038461538,0,0,0.091836735,0.886214442,0.788008565
0.055555556,0.076923077,0,0,0.071428571,0.881838074,0.845824411
0.037037037,0.057692308,0.035087719,0.022727273,0.040816327,0.765864333,0.642398287
0.092592593,0.519230769,0.01754386,0.363636364,0.540816327,0.875273523,0.856531049
0.074074074,0.307692308,0.00877193,0.181818182,0.224489796,0.875273523,0.764453961
0.055555556,0.153846154,0.021929825,0.045454545,0.091836735,0.868708972,0.790149893
0.12962963,0.423076923,0.083333333,0.886363636,0.93877551,0.849015317,0.839400428
0,0.076923077,0.01754386,0,0.010204082,0.86214442,0.798715203
0.166666667,0.153846154,0.350877193,0.113636364,0.030612245,0.855579869,0.822269807
0.148148148,0.192307692,0.004385965,0.090909091,0.142857143,0.875273523,0.856531049
0.055555556,0.115384615,0.043859649,0.022727273,0.030612245,0.86214442,0.790149893
0,0.076923077,0.109649123,0.022727273,0,0.851203501,0.815845824
0.074074074,0.096153846,0.065789474,0.113636364,0.204081633,0.820568928,0.802997859
0.092592593,0.173076923,0.030701754,0.045454545,0.142857143,0.875273523,0.856531049
0.018518519,0.076923077,0.004385965,0.090909091,0.132653061,0.838074398,0.82012848
0.037037037,0.25,0,0.090909091,0.142857143,0.884026258,0.862955032
0.092592593,0.153846154,0.013157895,0.227272727,0.183673469,0.899343545,0.867237687
0.055555556,0.173076923,0.013157895,0.204545455,0.214285714,0.921225383,0.882226981
0.037037037,0.115384615,0.013157895,0.022727273,0.12244898,0.892778993,0.839400428
0,0.038461538,0,0.068181818,0,0.855579869,0.798715203
0.111111111,0.096153846,0.00877193,0.113636364,0.204081633,0.846827133,0.847965739
0.018518519,0.038461538,0,0.113636364,0.132653061,0.897155361,0.856531049
0.074074074,0.230769231,0,0,0.12244898,0.892778993,0.86509636
0.055555556,0.134615385,0.00877193,0.068181818,0.081632653,0.857768053,0.830835118
0.018518519,0.192307692,0.01754386,0.204545455,0.459183673,0.875273523,0.869379015
0.055555556,0.192307692,0.013157895,0.181818182,0.285714286,0.851203501,0.82869379
0.037037037,0.076923077,0,0.090909091,0.12244898,0.90809628,0.903640257
0.037037037,0.038461538,0,0.045454545,0.112244898,0.864332604,0.826552463
0.055555556,0.038461538,0,0.045454545,0.142857143,0.857768053,0.845824411
0.092592593,0,0.026315789,0.022727273,0.040816327,0.868708972,0.867237687
0,0.115384615,0,0,0.102040816,0.853391685,0.899357602
0.12962963,0.269230769,0.065789474,0.045454545,0.051020408,0.879649891,0.875802998
0.037037037,0.230769231,0.013157895,0.704545455,0.653061224,0.870897155,0.837259101
0.092592593,0.230769231,0.026315789,0.181818182,0.183673469,0.875273523,0.798715203
0.092592593,0.038461538,0.00877193,0.068181818,0.091836735,0.870897155,0.832976445
0.037037037,0.019230769,0.087719298,0.022727273,0.010204082,0.853391685,0.813704497
0.037037037,0.134615385,0.048245614,0.022727273,0.020408163,0.851203501,0.809421842
0.074074074,0.288461538,0.149122807,0.090909091,0.112244898,0.857768053,0.7751606
0.111111111,0.096153846,0.131578947,0.136363636,0.071428571,0.851203501,0.809421842
0.055555556,0.096153846,0.026315789,0.022727273,0.010204082,0.875273523,0.841541756
0.074074074,0.134615385,0.048245614,0,0.010204082,0.888402626,0.856531049
0.018518519,0.038461538,0.035087719,0,0,0.857768053,0.832976445
0.055555556,0.134615385,0.00877193,0.090909091,0.153061224,0.866520788,0.841541756
0.092592593,0.057692308,0,0.159090909,0.071428571,0.866520788,0.830835118
0.203703704,0.192307692,0.057017544,0.454545455,0.295918367,0.929978118,0.856531049
0.074074074,0.096153846,0.00877193,0.022727273,0.081632653,0.873085339,0.847965739
0.018518519,0.038461538,0,0.022727273,0.010204082,0.875273523,0.869379015
0.055555556,0.153846154,0,0.159090909,0.112244898,0.86214442,0.832976445
0.037037037,0.038461538,0.004385965,0.227272727,0.316326531,0.86214442,0.843683084
0.055555556,0.038461538,0.004385965,0.068181818,0.081632653,0.875273523,0.837259101
0,0.076923077,0.00877193,0.045454545,0.030612245,0.866520788,0.839400428
0.074074074,0.153846154,0.004385965,0.113636364,0.020408163,0.892778993,0.867237687
0.148148148,0.211538462,0.013157895,0.045454545,0.030612245,0.881838074,0.847965739
0.055555556,0.019230769,0.00877193,0.159090909,0.255102041,0.897155361,0.850107066
0.018518519,0.038461538,0,0.045454545,0.071428571,0.868708972,0.830835118
0.148148148,0.192307692,0.004385965,0.045454545,0.040816327,0.866520788,0.839400428
0.018518519,0.038461538,0.00877193,0.022727273,0.030612245,0.875273523,0.852248394
0.185185185,0.211538462,0.078947368,0.477272727,0.214285714,0.901531729,0.860813704
0.12962963,0.096153846,0.070175439,0,0.020408163,0.899343545,0.845824411
0.055555556,0.192307692,0.01754386,0,0.020408163,0.903719912,0.858672377
0.018518519,0.192307692,0,0.363636364,0.469387755,0.912472648,0.867237687
0.12962963,0.153846154,0.074561404,0.045454545,0.010204082,0.875273523,0.843683084
0,0.057692308,0.087719298,0,0,0.886214442,0.852248394
0.222222222,0.25,0.135964912,0,0.040816327,0.884026258,0.860813704
0.037037037,0.153846154,0.030701754,0,0.030612245,0.881838074,0.850107066
0.833333333,0.807692308,0.833333333,0.636363636,0.469387755,0.86214442,0.847965739
0.018518519,0.096153846,0,0.068181818,0.112244898,0.903719912,0.86509636
0.074074074,0.019230769,0.039473684,0,0.102040816,0.881838074,0.850107066
0.074074074,0.057692308,0.039473684,0,0.010204082,0.875273523,0.832976445
0.018518519,0.230769231,0,0.090909091,0.204081633,0.894967177,0.867237687
0.074074074,0.269230769,0,0.454545455,0.714285714,0.910284464,0.867237687
0.074074074,0.134615385,0,0.136363636,0.142857143,0.89059081,0.862955032
0.018518519,0.192307692,0,0.090909091,0.255102041,0,0
0.037037037,0.057692308,0.048245614,0,0.030612245,0.857768053,0.847965739
0.148148148,0.307692308,0.021929825,0.090909091,0.163265306,0.905908096,0.852248394
0.12962963,0.173076923,0.052631579,0.454545455,0.112244898,0.897155361,0.862955032
0.018518519,0.211538462,0,0.272727273,0.448979592,0.90809628,0.860813704
0.148148148,0.615384615,0,0.636363636,1,0.903719912,0.862955032
0.111111111,0.115384615,0.01754386,0,0.010204082,0.919037199,0.899357602
0.037037037,0.192307692,0.052631579,0.136363636,0.163265306,0.875273523,0.892933619
0.055555556,0.173076923,0,0.340909091,0.387755102,0.888402626,0.852248394
0.074074074,0.038461538,0.01754386,0,0,0.894967177,0.877944325
0.092592593,0.076923077,0.043859649,0.045454545,0.346938776,0.884026258,0.854389722
0.037037037,0.192307692,0.030701754,0.068181818,0.06122449,0.903719912,0.869379015
0.148148148,0.307692308,0.144736842,0.545454545,0.387755102,0.899343545,0.871520343
0.12962963,0.096153846,0.061403509,0.068181818,0.214285714,0.866520788,0.824411135
0.018518519,0.115384615,0.00877193,0.181818182,0.326530612,0.901531729,0.86509636
0.055555556,0.076923077,0.01754386,0,0,0.899343545,0.87366167
0.055555556,0.134615385,0.035087719,0.181818182,0.265306122,0.875273523,0.850107066
0.148148148,0.076923077,0.271929825,0.386363636,0.112244898,0.901531729,0.856531049
0.185185185,0.153846154,0.052631579,0.477272727,0.214285714,0.899343545,0.867237687
0.037037037,0.192307692,0,0.068181818,0.163265306,0.888402626,0.856531049
0.203703704,0.173076923,0.342105263,0.545454545,0.204081633,0.884026258,0.862955032
0.166666667,0.211538462,0.210526316,0.25,0.142857143,0.875273523,0.856531049
0.074074074,0.038461538,0.052631579,0.090909091,0.112244898,0.881838074,0.862955032
0.037037037,0.038461538,0.144736842,0,0.020408163,0.903719912,0.867237687
0.055555556,0.057692308,0.00877193,0.045454545,0,0.897155361,0.867237687
0.148148148,0.153846154,0.131578947,0.045454545,0.010204082,0.901531729,0.871520343
0.037037037,0,0.01754386,0,0,0.892778993,0.860813704
0.037037037,0.096153846,0,0.068181818,0.153061224,0.888402626,0.854389722
0,0.057692308,0.01754386,0.022727273,0.030612245,0.831509847,0.856531049
0.074074074,0.019230769,0.01754386,0,0.010204082,0.899343545,0.858672377
0.037037037,0.096153846,0.118421053,0.022727273,0.020408163,0.884026258,0.843683084
0,0.076923077,0.030701754,0.022727273,0.010204082,0.899343545,0.862955032
0.074074074,0.096153846,0.021929825,0.022727273,0.051020408,0.888402626,0.845824411
0.055555556,0.153846154,0.043859649,0.022727273,0.030612245,0.868708972,0.843683084
0,0.038461538,0.021929825,0,0.010204082,0.868708972,0.843683084
0.055555556,0.173076923,0.004385965,0.113636364,0.071428571,0.89059081,0.845824411
0.092592593,0.096153846,0.00877193,0.022727273,0.040816327,0.901531729,0.854389722
0.074074074,0.134615385,0.035087719,0,0.010204082,0.901531729,0.871520343
0.018518519,0.038461538,0.061403509,0,0.071428571,0.910284464,0.858672377
0,0.057692308,0,0.295454545,0.326530612,0.866520788,0.792291221
0.148148148,0.384615385,0.131578947,0.340909091,0.612244898,0.956236324,0.888650964
0.092592593,0.057692308,0.013157895,0.068181818,0.030612245,0.925601751,0.869379015
0.074074074,0.25,0.004385965,0.090909091,0.255102041,0.934354486,0.91862955
0.074074074,0.076923077,0.004385965,0.045454545,0.071428571,0.888402626,0.856531049
0,0.269230769,0.026315789,0.068181818,0.091836735,0.934354486,0.91006424
0.055555556,0.288461538,0.074561404,0.136363636,0.255102041,0.929978118,0.869379015
0.037037037,0.115384615,0.01754386,0.068181818,0.081632653,0.984682713,0.903640257
0.12962963,0.115384615,0.061403509,0.022727273,0.010204082,0.875273523,0.867237687
0.111111111,0.307692308,0.087719298,0.090909091,0.357142857,0.938730853,0.888650964
0.055555556,0.057692308,0.013157895,0.045454545,0.224489796,0.943107221,0.899357602
0,0.038461538,0.004385965,0.022727273,0.071428571,0.964989059,0.895074946
0,0.038461538,0.01754386,0,0,0.897155361,0.854389722
0.018518519,0.057692308,0,0.022727273,0.010204082,0.910284464,0.854389722
0.092592593,0.057692308,0,0.159090909,0.132653061,0.905908096,0.858672377
0.055555556,0.134615385,0.004385965,0.25,0.295918367,0.90809628,0.850107066
0.074074074,0.057692308,0.00877193,0.068181818,0.234693878,0.884026258,0.835117773
0.037037037,0.211538462,0.013157895,0.045454545,0.102040816,0.93654267,0.890792291
0.018518519,0.038461538,0.078947368,0.068181818,0.040816327,0.914660832,0.847965739
0.166666667,0.153846154,0.350877193,0.409090909,0.275510204,0.919037199,0.87366167
0.037037037,0.076923077,0,0.113636364,0.173469388,0.903719912,0.852248394
0.018518519,0.173076923,0,0.227272727,0.367346939,0.923413567,0.882226981
0.018518519,0.019230769,0,0,0,0,0
0.018518519,0.115384615,0,0.045454545,0.193877551,0.95404814,0.895074946
0,0.153846154,0,0.113636364,0.387755102,0.940919037,0.890792291
0.018518519,0.230769231,0.004385965,0.227272727,0.346938776,0.945295405,0.892933619
0.018518519,0.192307692,0.00877193,0.25,0.306122449,0.927789934,0.880085653
0.092592593,0.076923077,0.171052632,0.022727273,0.040816327,0.899343545,0.880085653
0.166666667,0.134615385,0.092105263,0.431818182,0.255102041,0.820568928,0.794432548
0.037037037,0.076923077,0.00877193,0,0.020408163,0.879649891,0.835117773
0,0.057692308,0.048245614,0,0.051020408,0.934354486,0.87366167
0,0.019230769,0.021929825,0,0,0.962800875,0.858672377
0.074074074,0.038461538,0.021929825,0.022727273,0.010204082,0.919037199,0.87366167
0.055555556,0.307692308,0.061403509,0.136363636,0.275510204,0.971553611,0.903640257
0.055555556,0.115384615,0.096491228,0,0.010204082,0.932166302,0.884368308
0.055555556,0.134615385,0.030701754,0,0.051020408,0.879649891,0.854389722
1,1,1,1,0.846938776,0.892778993,0.880085653
0.111111111,0.057692308,0.140350877,0.068181818,0.040816327,0.866520788,0.82869379
0.074074074,0.269230769,0.013157895,0.022727273,0.102040816,0.89059081,0.858672377
0.055555556,0.192307692,0.004385965,0.045454545,0.091836735,0.840262582,0.798715203
0.055555556,0.096153846,0.004385965,0.090909091,0.193877551,0.86214442,0.847965739
0.018518519,0.019230769,0.004385965,0.022727273,0.030612245,0.892778993,0.880085653
0.092592593,0.076923077,0.01754386,0,0.010204082,0.89059081,0.871520343
0.055555556,0.057692308,0.030701754,0,0.010204082,0.897155361,0.850107066
0.166666667,0.269230769,0.021929825,0.045454545,0.071428571,0.857768053,0.87366167
0.037037037,0.038461538,0.00877193,0.022727273,0.030612245,0.875273523,0.869379015
0.055555556,0.153846154,0.01754386,0,0.020408163,0.919037199,0.899357602
0.222222222,0.5,0.039473684,0.363636364,0.5,0.90809628,0.880085653
0.092592593,0.346153846,0.048245614,0.318181818,0.56122449,0.875273523,0.884368308
0.055555556,0.019230769,0.052631579,0,0.030612245,0.884026258,0.826552463
0.018518519,0.057692308,0.100877193,0.068181818,0.081632653,0.877461707,0.839400428
0,0.038461538,0.013157895,0,0,0.827133479,0.713062099
0.055555556,0.019230769,0.026315789,0,0,0.820568928,0.766595289
0.092592593,0.192307692,0.048245614,0.340909091,0.479591837,0.835886214,0.856531049
0.148148148,0.115384615,0.245614035,0.363636364,0.316326531,0.807439825,0.884368308
0.074074074,0.076923077,0.105263158,0.136363636,0.102040816,0.851203501,0.845824411
0.148148148,0.076923077,0.030701754,0.272727273,0.12244898,0.879649891,0.852248394
0.055555556,0.019230769,0.00877193,0,0,0.932166302,0.897216274
0.12962963,0.115384615,0.793859649,0.318181818,0.071428571,0.903719912,0.875802998
0.203703704,0.192307692,0.25,0.022727273,0.051020408,0.914660832,0.884368308
0.074074074,0.134615385,0.144736842,0.522727273,0.765306122,0.923413567,0.86509636
0.111111111,0.096153846,0.280701754,0.25,0.030612245,0.875273523,0.862955032
0.074074074,0.346153846,0.021929825,0.204545455,0.43877551,0.888402626,0.87366167
0.111111111,0.096153846,0.346491228,0.295454545,0.173469388,0.910284464,0.877944325
0.074074074,0.288461538,0.201754386,0.340909091,0.316326531,0.90809628,0.860813704
0.074074074,0.288461538,0.004385965,0.318181818,0.285714286,0.901531729,0.86509636
0.074074074,0.153846154,0.074561404,0.045454545,0.020408163,0.914660832,0.895074946
0.055555556,0.076923077,0.013157895,0.022727273,0.030612245,0.894967177,0.856531049
0.037037037,0.096153846,0.021929825,0,0,0.866520788,0.832976445
0.018518519,0.096153846,0.004385965,0,0.040816327,0.864332604,0.845824411
0.074074074,0.057692308,0.057017544,0,0.020408163,0.925601751,0.875802998
0.055555556,0.076923077,0.048245614,0.045454545,0,0.927789934,0.875802998
0.055555556,0.076923077,0.021929825,0.068181818,0.051020408,0.927789934,0.869379015
0.092592593,0.096153846,0.302631579,0.136363636,0.081632653,0.90809628,0.87366167
0.240740741,0.480769231,0.105263158,0.204545455,0.673469388,0.879649891,0.852248394
0.074074074,0.076923077,0.01754386,0.045454545,0.081632653,0.910284464,0.850107066
0.055555556,0.038461538,0.048245614,0,0,0.925601751,0.880085653
0.037037037,0,0.135964912,0.045454545,0.040816327,0.927789934,0.884368308