시군구,방문자 수
강원도 고성군,11587818
춘천시,20469393
원주시,18684861
강릉시,26260986
동해시,6759629
태백시,2999818
속초시,19443033
삼척시,8586812
홍천군,15071693
횡성군,8176074
영월군,6065958
평창군,13335933
정선군,8137646
철원군,4669436
화천군,2428709
양구군,1814851
인제군,4826112
양양군,12196304
고양시,75257135
성남시,72576971
수원시,63268553
의정부시,21424378
안산시,39936404
부천시,35697806
광명시,19930245
평택시,24444231
동두천시,5120948
안양시,37194769
용인시,76844219
과천시,11662793
구리시,14610752
남양주시,32210877
오산시,12291493
시흥시,29130254
군포시,12922885
의왕시,13755123
하남시,26321412
파주시,33184403
이천시,18496268
안성시,16585145
김포시,27006654
화성시,51736786
광주시,24448778
양주시,18181646
포천시,21368171
여주시,15901010
연천군,5737694
가평군,22105529
양평군,17732502
경남 고성군,6925828
창원시,70023454
진주시,15381413
통영시,12710881
사천시,10749055
김해시,25580274
밀양시,11559157
거제시,16967099
양산시,21105082
의령군,3143522
함안군,6340842
창녕군,7439483
남해군,8232966
하동군,5916953
산청군,6756851
함양군,4246959
거창군,4970043
합천군,6173042
경주시,38487665
김천시,9219130
안동시,10821969
구미시,14286993
영주시,6078970
영천시,9121695
상주시,7957210
문경시,7154024
경산시,16897159
군위군,4499849
의성군,5052265
청송군,3570227
영양군,1376345
영덕군,7626389
청도군,9100584
고령군,4108285
성주군,5581487
칠곡군,11689216
예천군,4490870
봉화군,3328175
울진군,6609317
울릉군,1511584
포항시,35572356
광주광역시 남구,11733823
광주광역시 동구,17762318
광주광역시 북구,21467178
광주광역시 광산구,22917960
광주광역시 서구,25200044
대구광역시 남구,12795176
대구광역시 동구,31855695
대구광역시 수성구,27458635
대구광역시 달서구,30178387
대구광역시 달성군,17867385
대구광역시 북구,24462256
대구광역시 서구,11114600
대구광역시 중구,33236846
대전광역시 동구,14857098
대전광역시 유성구,27183723
대전광역시 대덕구,10362892
대전광역시 서구,28766993
대전광역시 중구,20237493
부산광역시 강서구,19199657
부산광역시 영도구,7672511
부산광역시 부산진구,40672637
부산광역시 동래구,20815215
부산광역시 해운대구,41543754
부산광역시 사하구,13011480
부산광역시 금정구,16861277
부산광역시 남구,15420524
부산광역시 연제구,16093983
부산광역시 수영구,21638974
부산광역시 사상구,14909226
부산광역시 기장군,29542362
부산광역시 동구,11466138
부산광역시 북구,12203564
부산광역시 서구,10681311
부산광역시 중구,16380620
종로구,61659809
강서구,44365489
용산구,40356913
성동구,32024962
광진구,29971654
동대문구,24994344
중랑구,17389919
성북구,22913019
강북구,18328235
도봉구,13459863
노원구,26938602
은평구,18079312
서대문구,28755350
마포구,56951532
양천구,21140006
구로구,29155037
금천구,17785107
영등포구,59053622
동작구,24300103
관악구,28692265
서초구,65675204
강남구,103309405
송파구,66769373
강동구,23706460
중구,56997855
세종시,18116176
울산광역시 남구,23223184
울산광역시 동구,8486736
울산광역시 북구,13529481
울산광역시 울주군,20728511
울산광역시 중구,11738732
인천광역시 동구,4129414
인천광역시 미추홀구,22522049
인천광역시 연수구,27395693
인천광역시 남동구,31448752
인천광역시 부평구,26797444
인천광역시 계양구,14500926
인천광역시 강화군,14248442
인천광역시 옹진군,5096676
인천광역시 서구,26270892
인천광역시 중구,32546996
목포시,13256884
여수시,22429413
순천시,15558789
나주시,9956429
광양시,8651194
담양군,9883438
곡성군,4220504
구례군,4503554
고흥군,6250555
보성군,5010542
화순군,7963778
장흥군,3490545
강진군,3731667
해남군,5883901
영암군,5624367
무안군,7880451
함평군,4141846
영광군,5308324
장성군,6285837
완도군,4375776
진도군,3920591
신안군,4849176
전주시,39727853
군산시,14377306
익산시,11771786
정읍시,7316086
남원시,7035338
김제시,6914139
완주군,12038770
진안군,3636979
무주군,5532536
장수군,2182275
임실군,3957176
순창군,3486708
고창군,6568793
부안군,8305178
제주시,50947145
서귀포시,39371469
공주시,14007894
보령시,14796644
아산시,21412149
서산시,10484881
논산시,9594511
계룡시,2654049
당진시,12349021
금산군,6269644
부여군,6669455
서천군,6103684
청양군,3473991
홍성군,7105846
예산군,9143844
태안군,16599617
천안시,44137454
충주시,14737623
제천시,12099432
보은군,4729375
옥천군,5444873
영동군,4124597
증평군,2834930
진천군,7820432
괴산군,6793475
음성군,9234379
단양군,6669433
청주시,62205038