RC2,RC1,RC3,가평군
-0.152537125,0.572279941,4.579269181,강남구
0.098813141,1.123386358,-0.789508402,강동구
-0.478891532,0.061527048,-0.58363777,강릉시
-0.022562775,1.479166793,1.181994798,강북구
0.246775657,0.116929776,-0.588821151,강서구
0.044447466,1.186966668,-0.651017003,강원도 고성군
0.976483089,-0.85863369,0.255439468,강진군
0.2648366,-0.737044609,-0.091988385,거제시
0.17542197,-0.341382983,2.085775554,거창군
0.50525124,-0.818885027,-0.056837867,경남 고성군
0.178397369,-0.821977632,0.215884415,경산시
-0.03301132,0.004399421,-0.422542782,경주시
-0.055535478,0.813629786,2.679711523,계룡시
-1.717808648,-0.818669421,-0.134302518,고령군
-0.333980584,-0.893813569,-0.127774175,고양시
-0.304750074,4.660993977,-1.160240202,고창군
-2.396359506,-0.569245725,0.328281296,고흥군
-0.058407246,-0.841409425,-0.072357813,곡성군
-0.535093441,-0.794458043,-0.142123891,공주시
-0.011714368,-0.02693596,0.124224203,과천시
0.054066966,-0.6961112,-0.300843507,관악구
-0.051526329,-0.089633336,-0.681211551,광명시
-0.069277147,-0.131058921,-0.326805554,광양시
-1.089194693,-0.530813186,0.06339307,광주광역시 광산구
0.225409478,0.584914697,-0.778799799,광주광역시 남구
0.202986006,-0.23251775,-0.572192568,광주광역시 동구
0.651761454,-0.551238066,-0.456095594,광주광역시 북구
0.327565544,0.238040962,-0.421607186,광주광역시 서구
0.172545343,-0.046226381,-0.622672429,광주시
0.223696766,1.068714089,-0.205396575,광진구
0.268047053,0.095757768,-0.883727726,괴산군
0.34690536,-0.831828097,0.112904001,구례군
0.258064895,-0.816933375,0.048050275,구로구
0.120921044,-0.373610059,-0.569991041,구리시
0.898701404,-0.34850146,-0.498019062,구미시
0.75391002,0.267709519,-0.168726772,군산시
-1.560334533,0.069548215,0.185574351,군위군
-0.101849575,-0.854255612,-0.490875704,군포시
0.445904382,-0.047709873,-0.174503765,금산군
0.059154689,-0.733782328,-0.01942317,금천구
-1.063115495,-0.371500994,-0.736736822,김제시
0.036628788,-0.525455249,-0.274858679,김천시
-1.286429566,-0.715610953,-0.023754722,김포시
-0.026997059,2.579037969,-0.658463043,김해시
-0.364349096,0.792694646,-0.291547512,나주시
-0.323682406,-0.228833816,-0.168450831,남양주시
-0.233472444,4.425244573,-0.864837277,남원시
-0.174750688,-0.719451138,-0.337471885,남해군
-0.070270747,-0.915329652,2.008805741,노원구
0.020907001,0.068187301,0.133923494,논산시
-0.229364947,-0.603594217,0.044504451,단양군
-0.131574903,-0.857217327,0.097182042,담양군
-0.228335288,-0.030652752,-0.021836572,당진시
0.083523573,-0.079384176,-0.028795153,대구광역시 남구
-0.340394601,-0.144947472,-0.528032889,대구광역시 달서구
0.114814041,0.286165069,-0.437466677,대구광역시 달성군
0.175131562,0.396366013,-0.211572869,대구광역시 동구
0.35326152,0.517386177,-0.460829468,대구광역시 북구
0.05196406,-0.244641924,-0.388419818,대구광역시 서구
-0.348618159,-0.655153919,-0.43347615,대구광역시 수성구
-0.072004337,0.071036458,-0.143495011,대구광역시 중구
0.084933453,-0.169751317,-0.605575168,대전광역시 대덕구
0.322840569,-0.048651127,-0.198364469,대전광역시 동구
-0.065157998,-0.259192342,-0.2024463,대전광역시 서구
0.13006778,1.296300448,-1.002542008,대전광역시 유성구
-0.130390202,0.702657506,-0.508201034,대전광역시 중구
0.38267265,-0.168533351,-0.493559459,도봉구
-0.037679247,-0.412037489,-0.422073316,동대문구
0.230643018,-0.36967412,-0.345741754,동두천시
0.183088948,-0.840485058,0.076884697,동작구
0.025524071,-0.284904368,-0.618817495,동해시
0.214218429,-0.213126928,0.504205769,마포구
-0.062379687,2.935728742,-1.23657195,목포시
-0.121665258,0.436849291,-0.071324302,무안군
-0.251158357,-0.433698517,-0.114352767,무주군
-0.0981115,-0.958010462,0.155781717,문경시
-0.173317556,-0.586810199,-0.003237355,밀양시
-0.356150722,0.000445966,0.535725777,보령시
-0.186633466,-0.487010897,0.64843495,보성군
0.084939176,-0.679377679,-0.025127161,보은군
0.13846588,-0.666143641,0.158214979,봉화군
-0.046735268,-0.878423018,-0.16888408,부산광역시 강서구
0.072461658,-0.007919746,-0.323048837,부산광역시 금정구
0.109656838,-0.326018533,-0.044534977,부산광역시 기장군
0.269915561,1.119446762,0.365138524,부산광역시 남구
0.148430747,-0.458508057,-0.123181063,부산광역시 동구
0.322533342,-0.763166194,-0.343235929,부산광역시 동래구
0.226770496,0.024498414,-0.246383041,부산광역시 부산진구
0.211611123,0.51425489,-0.72190345,부산광역시 북구
0.129104606,-0.488395724,-0.253320694,부산광역시 사상구
0.243642845,-0.589045634,-0.390074273,부산광역시 사하구
0.291954158,-0.311633686,-0.041115871,부산광역시 서구
0.179323909,-0.352757515,0.397205732,부산광역시 수영구
0.173281289,0.178624968,-0.56895875,부산광역시 연제구
-0.176646421,-0.489256837,-0.481377827,부산광역시 영도구
0.137367726,-0.367726757,0.35563544,부산광역시 중구
0.128853182,-0.697613648,-0.352745477,부산광역시 해운대구
0.198055982,0.93177101,0.534191524,부안군
0.235355701,-0.815380879,0.523889285,부여군
0.279736271,-0.446089252,-0.070139925,부천시
0.230601433,1.681452631,-1.128748157,사천시
0.112543493,-0.63286483,0.594220172,산청군
0.219080105,-0.907439859,-0.03332045,삼척시
0.24290187,-0.568831042,1.319800999,상주시
0.102337119,-0.511328795,-0.128990074,서귀포시
-0.122236409,1.733887736,7.038169732,서대문구
-0.073616642,-0.143697215,-0.594455674,서산시
0.097181524,-0.652436266,-0.069114607,서천군
0.003677748,-0.841213332,0.110823629,서초구
0.312244834,0.417130124,-0.628582511,성남시
0.175129601,2.738017652,-1.237860271,성동구
0.165013695,0.076328656,-0.288820023,성북구
-9.898961994,0.649760046,-0.358988111,성주군
-0.359963115,-0.709980192,-0.127874917,세종시
0.081412542,0.385928823,0.193812967,속초시
0.203169371,0.571155558,0.294524163,송파구
0.206735561,1.482800376,-1.078569626,수원시
0.071330755,4.711126938,-1.223933112,순창군
0.460386042,-0.677844829,0.172243631,순천시
0.231372192,0.212971304,-0.256639842,시흥시
0.085188612,1.311823432,-0.784647077,신안군
0.382808038,-0.889770326,0.013232538,아산시
0.161611226,0.276754263,-0.345188,안동시
0.224096893,-0.180885796,-0.195830335,안산시
0.131879543,1.745992173,0.360806622,안성시
-0.14113063,-0.074236514,0.158419226,안양시
0.158229695,0.706606009,-0.869685509,양구군
0.35947185,-0.782182931,-0.07319327,양산시
0.037649566,0.483511755,-0.421298954,양양군
0.151106947,-0.145214967,1.333664885,양주시
0.157609868,0.849408866,0.384816124,양천구
-0.015416085,0.188828388,-0.513088025,양평군
0.072764025,0.514225614,1.814910757,여수시
0.058398966,0.072050684,1.16781915,여주시
0.148458679,-0.418865336,-0.025709546,연천군
0.126959449,-0.964397205,0.317546816,영광군
0.303418931,-0.72231277,-0.119398802,영덕군
0.168145879,-0.698881049,0.891296396,영동군
0.109787378,-0.923392133,-0.215101218,영등포구
0.038223817,-0.077617279,-0.518684434,영암군
-0.118847562,-0.649139135,-0.390307268,영양군
0.04130726,-0.857879118,-0.053419314,영월군
0.086500928,-0.774309861,0.263242828,영주시
0.109195694,-0.65557687,-0.346853217,영천시
0.14216349,-0.557274297,-0.031005053,예산군
0.006339507,-0.502660819,0.032807678,예천군
-0.12618573,-0.780721521,-0.379012919,오산시
0.099581121,-0.088438716,-0.222419267,옥천군
0.161210107,-0.563198491,-0.000848402,완도군
0.319600935,-0.650919374,0.096513707,완주군
0.235383837,-0.684459665,-0.219729859,용산구
-0.307684675,0.805652436,-0.980825296,용인시
0.476261801,2.227828167,-0.084675541,울릉군
0.526395225,-0.629205605,0.036259179,울산광역시 남구
0.55654844,0.607002516,-0.467979701,울산광역시 동구
0.074612148,-0.448200374,-0.173828041,울산광역시 북구
0.681292953,0.108635298,-0.436168285,울산광역시 울주군
0.341102049,0.676978501,-0.212701253,울산광역시 중구
0.523575446,-0.22444804,-0.408183398,울진군
0.032848593,-0.712494155,0.483504559,원주시
0.400249172,0.892013823,-0.05614058,은평구
0.524044468,-0.026425069,-0.536284744,음성군
0.546939083,-0.506141928,-0.628459447,의령군
0.16809558,-0.818548061,-0.380577374,의성군
0.311727122,-0.695742052,-0.36813243,의왕시
0.10628041,-0.081877734,-0.229251643,의정부시
0.189692687,0.762335814,-0.62873856,이천시
0.047330576,0.01389637,-0.413688247,익산시
0.227981976,0.018381247,-0.40144537,인제군
0.222770574,-0.673847269,-0.085932879,인천광역시 강화군
0.266604128,0.437545037,1.512853591,인천광역시 계양구
0.231875612,0.006473546,-0.545567176,인천광역시 남동구
0.216776157,1.091341668,-0.994630946,인천광역시 동구
-9.884916871,-0.696382792,0.014077051,인천광역시 미추홀구
0.393854561,0.093548343,-0.744596553,인천광역시 부평구
0.126135881,0.938088163,-1.177416918,인천광역시 서구
0.337942471,1.167365365,-0.939437654,인천광역시 연수구
0.293827961,0.972917669,-0.835455163,인천광역시 옹진군
0.304183504,-0.874375681,0.721513517,인천광역시 중구
-0.448558246,0.754948645,0.46933252,임실군
-0.082896578,-0.669440478,-0.249934678,장성군
0.459979231,-0.669177815,-0.342021878,장수군
0.605433505,-0.879681769,-0.384629543,장흥군
0.458074155,-0.815735019,0.001287503,전주시
0.63313464,0.822330793,-0.340883403,정선군
0.443653345,-0.763100553,0.238063569,정읍시
0.283773384,-0.538013192,-0.046706781,제주시
0.044265128,3.661730355,8.023750332,제천시
-0.057994527,-0.806732384,0.707628921,종로구
0.149932394,0.02569773,-0.110463804,중구
-0.313749137,-0.132056693,-0.203922206,중랑구
0.114990215,0.024958378,-0.419389598,증평군
0.249193752,-0.716118508,-0.411184312,진도군
0.455459637,-0.804374953,0.129131323,진안군
0.196994047,-0.811982632,-0.037728939,진주시
0.058364114,-0.103548694,0.467144612,진천군
0.088703804,-0.689352697,-0.282487036,창녕군
0.441528983,-0.515007296,-0.119381076,창원시
0.353696699,2.271285316,0.163115132,천안시
0.160097166,2.08831191,-0.614092556,철원군
0.079825242,-0.888581702,0.034913657,청도군
-0.021045153,-0.543030454,-0.032904553,청송군
-0.595068292,-0.866186491,-0.288300476,청양군
-0.494769116,-0.949830196,0.018009664,청주시
-0.17670346,1.525868685,-0.506324003,춘천시
-0.088122309,0.52723989,0.937203527,충주시
0.02568315,-0.377876686,0.2789419,칠곡군
-0.083541885,0.067868748,0.226428045,태백시
0.525592838,-0.880549601,-0.172794398,태안군
0.211998151,-1.129321126,3.654673933,통영시
0.3556729,-0.770012315,1.653797193,파주시
0.2145764,2.47915085,-0.7299214,평창군
0.168768951,-0.620319753,1.359151368,평택시
0.052071484,1.578578229,-0.643579044,포천시
0.31226759,-0.189925629,1.375545489,포항시
0.135685723,1.047982032,0.352654017,하남시
0.167255463,1.22200184,-0.473204464,하동군
0.500575673,-0.549095621,0.251717963,함안군
0.221217491,-0.634320634,-0.144233459,함양군
-0.001704877,-0.734711148,-0.116512839,함평군
-0.083384981,-0.548834173,-0.383663811,합천군
0.375696768,-0.818934395,0.124060477,해남군
0.440510638,-0.728085303,0.038834963,홍성군
0.259575586,-0.463515771,-0.189379441,홍천군
0.29246883,-0.692896823,1.243563217,화성시
0.022339444,2.321286937,0.264946675,화순군
0.371161311,-0.474396517,-0.104163611,화천군
0.222164628,-0.867765169,-0.012751105,횡성군
0.303430013,-0.883702779,0.209919355,